n_bits,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256
11,-1,-0.2727272727,-0.09090909091,0.09090909091,0.2727272727,0.2727272727,0.4545454545,0.6363636364,0.6363636364,0.6363636364,0.8181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-1,-0.3333333333,0,0,0.3333333333,0.3333333333,0.3333333333,0.5,0.6666666667,0.6666666667,0.6666666667,0.8333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-1,-0.2307692308,-0.07692307692,0.07692307692,0.2307692308,0.3846153846,0.3846153846,0.3846153846,0.5384615385,0.6923076923,0.6923076923,0.6923076923,0.8461538462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-1,-0.2857142857,-0.1428571429,0,0.1428571429,0.2857142857,0.4285714286,0.4285714286,0.4285714286,0.5714285714,0.7142857143,0.7142857143,0.7142857143,0.8571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-1,-0.3333333333,-0.06666666667,-0.06666666667,0.06666666667,0.2,0.3333333333,0.4666666667,0.4666666667,0.4666666667,0.6,0.7333333333,0.7333333333,0.7333333333,0.8666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,-1,-0.25,0,0,0,0.25,0.25,0.375,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-1,-0.2941176471,-0.05882352941,0.05882352941,0.05882352941,0.1764705882,0.2941176471,0.2941176471,0.4117647059,0.5294117647,0.5294117647,0.6470588235,0.7647058824,0.7647058824,0.7647058824,0.7647058824,0.8823529412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,-1,-0.3333333333,-0.1111111111,0.1111111111,0.1111111111,0.1111111111,0.2222222222,0.3333333333,0.3333333333,0.5555555556,0.5555555556,0.5555555556,0.6666666667,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.8888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-1,-0.2631578947,-0.05263157895,0.05263157895,0.1578947368,0.1578947368,0.1578947368,0.2631578947,0.3684210526,0.4736842105,0.5789473684,0.5789473684,0.5789473684,0.6842105263,0.7894736842,0.7894736842,0.7894736842,0.7894736842,0.8947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,-1,-0.3,-0.1,0,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,-1,-0.3333333333,-0.1428571429,0.04761904762,0.04761904762,0.2380952381,0.2380952381,0.2380952381,0.2380952381,0.3333333333,0.4285714286,0.5238095238,0.619047619,0.619047619,0.619047619,0.7142857143,0.8095238095,0.8095238095,0.8095238095,0.8095238095,0.9047619048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,-1,-0.2727272727,-0.09090909091,0,0.09090909091,0.1818181818,0.2727272727,0.2727272727,0.2727272727,0.2727272727,0.3636363636,0.4545454545,0.5454545455,0.6363636364,0.6363636364,0.6363636364,0.7272727273,0.8181818182,0.8181818182,0.8181818182,0.8181818182,0.9090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,-1,-0.3043478261,-0.04347826087,-0.04347826087,0.04347826087,0.1304347826,0.2173913043,0.3043478261,0.3043478261,0.3043478261,0.3043478261,0.3913043478,0.4782608696,0.5652173913,0.652173913,0.652173913,0.652173913,0.7391304348,0.8260869565,0.8260869565,0.8260869565,0.8260869565,0.9130434783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,-1,-0.3333333333,-0.08333333333,0,0,0.1666666667,0.1666666667,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.5,0.5,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.75,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.9166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,-1,-0.28,-0.12,0.04,0.04,0.12,0.2,0.28,0.36,0.36,0.36,0.36,0.52,0.52,0.6,0.68,0.68,0.68,0.68,0.76,0.84,0.84,0.84,0.84,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,-1,-0.3076923077,-0.07692307692,0,0.07692307692,0.07692307692,0.1538461538,0.2307692308,0.3076923077,0.3846153846,0.3846153846,0.3846153846,0.4615384615,0.5384615385,0.5384615385,0.6153846154,0.6923076923,0.6923076923,0.6923076923,0.6923076923,0.7692307692,0.8461538462,0.8461538462,0.8461538462,0.8461538462,0.9230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,-1,-0.3333333333,-0.1111111111,-0.03703703704,0.03703703704,0.1111111111,0.1111111111,0.2592592593,0.2592592593,0.3333333333,0.4074074074,0.4074074074,0.4074074074,0.4814814815,0.5555555556,0.5555555556,0.6296296296,0.7037037037,0.7037037037,0.7037037037,0.7037037037,0.7777777778,0.8518518519,0.8518518519,0.8518518519,0.8518518519,0.9259259259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,-1,-0.2857142857,-0.1428571429,0,0,0.1428571429,0.1428571429,0.2142857143,0.2857142857,0.2857142857,0.4285714286,0.4285714286,0.4285714286,0.4285714286,0.5714285714,0.5714285714,0.5714285714,0.6428571429,0.7142857143,0.7142857143,0.7142857143,0.7142857143,0.7857142857,0.8571428571,0.8571428571,0.8571428571,0.8571428571,0.9285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,-1,-0.3103448276,-0.1034482759,-0.03448275862,0.03448275862,0.1034482759,0.1724137931,0.1724137931,0.2413793103,0.3103448276,0.3793103448,0.4482758621,0.4482758621,0.4482758621,0.5172413793,0.5862068966,0.5862068966,0.5862068966,0.6551724138,0.724137931,0.724137931,0.724137931,0.724137931,0.7931034483,0.8620689655,0.8620689655,0.8620689655,0.8620689655,0.9310344828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,-1,-0.3333333333,-0.06666666667,-0.06666666667,0,0.06666666667,0.2,0.2,0.2,0.2666666667,0.3333333333,0.4,0.4666666667,0.4666666667,0.4666666667,0.5333333333,0.6,0.6,0.6,0.6666666667,0.7333333333,0.7333333333,0.7333333333,0.7333333333,0.8,0.8666666667,0.8666666667,0.8666666667,0.8666666667,0.9333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,-1,-0.2903225806,-0.09677419355,-0.03225806452,-0.03225806452,0.03225806452,0.1612903226,0.2258064516,0.2258064516,0.2258064516,0.2903225806,0.3548387097,0.4193548387,0.4838709677,0.4838709677,0.4838709677,0.5483870968,0.6129032258,0.6129032258,0.6129032258,0.6774193548,0.7419354839,0.7419354839,0.7419354839,0.7419354839,0.8064516129,0.8709677419,0.8709677419,0.8709677419,0.8709677419,0.935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,-1,-0.3125,-0.125,0,0,0,0.125,0.1875,0.25,0.25,0.25,0.375,0.375,0.5,0.5,0.5,0.5,0.625,0.625,0.625,0.625,0.6875,0.75,0.75,0.75,0.75,0.875,0.875,0.875,0.875,0.875,0.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,-1,-0.3333333333,-0.09090909091,0.0303030303,0.0303030303,0.0303030303,0.1515151515,0.1515151515,0.2727272727,0.2727272727,0.2727272727,0.3333333333,0.3939393939,0.3939393939,0.5151515152,0.5151515152,0.5151515152,0.5151515152,0.6363636364,0.6363636364,0.6363636364,0.6363636364,0.696969697,0.7575757576,0.7575757576,0.7575757576,0.8181818182,0.8787878788,0.8787878788,0.8787878788,0.8787878788,0.8787878788,0.9393939394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,-1,-0.2941176471,-0.1176470588,0,0.05882352941,0.05882352941,0.1176470588,0.1764705882,0.2352941176,0.2941176471,0.2941176471,0.2941176471,0.4117647059,0.4117647059,0.4117647059,0.5294117647,0.5294117647,0.5294117647,0.5294117647,0.6470588235,0.6470588235,0.6470588235,0.6470588235,0.7647058824,0.7647058824,0.7647058824,0.7647058824,0.8235294118,0.8823529412,0.8823529412,0.8823529412,0.8823529412,0.8823529412,0.9411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,-1,-0.3142857143,-0.1428571429,-0.02857142857,0.08571428571,0.08571428571,0.08571428571,0.1428571429,0.2,0.3142857143,0.3142857143,0.3142857143,0.3714285714,0.4285714286,0.4285714286,0.4285714286,0.5428571429,0.5428571429,0.5428571429,0.5428571429,0.6571428571,0.6571428571,0.6571428571,0.7142857143,0.7714285714,0.7714285714,0.7714285714,0.7714285714,0.8285714286,0.8857142857,0.8857142857,0.8857142857,0.8857142857,0.8857142857,0.9428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,-1,-0.3333333333,-0.1111111111,0,0.05555555556,0.1111111111,0.1111111111,0.1111111111,0.2222222222,0.2222222222,0.3333333333,0.3333333333,0.3333333333,0.3888888889,0.4444444444,0.4444444444,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.6666666667,0.6666666667,0.6666666667,0.7222222222,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.8333333333,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.9444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
